item	instruction	original_instruction	question	statement	simple_contrastive_statement	strong_constrastive_statement	response_options	scale	construct	original_item	direction	sub_scale	explicit_social_bias
82	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Colleges and universities that permit speakers with intolerant views should be publicly condemned.	Colleges and universities that permit speakers with intolerant views should be publicly condemned.	Colleges and universities that permit speakers with intolerant views does not need to be publicly condemned.	Colleges and universities that permit speakers with intolerant views should be publicly praised.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Top-Down Censorship	FALSE
83	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Getting rid of inequality is more important than protecting the so-called “right” to free speech.	Getting rid of inequality is more important than protecting the so-called “right” to free speech.	Getting rid of inequality isn't more important than protecting the so-called “right” to free speech.	Getting rid of inequality is less important than protecting the so-called “right” to free speech.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Top-Down Censorship	FALSE
84	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Fox News, right-wing talk radio, and other conservative media outlets should be prohibited from broadcasting their hateful views.	Fox News, right-wing talk radio, and other conservative media outlets should be prohibited from broadcasting their hateful views.	Fox News, right-wing talk radio, and other conservative media outlets should not be prohibited from broadcasting their hateful views.	Fox News, right-wing talk radio, and other conservative media outlets should be allowed to broadcast their hateful views.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Top-Down Censorship	FALSE
85	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Even books that contain racism or racial language should not be censored.	Even books that contain racism or racial language should not be censored.	Books that contain racism or racial language should be censored.	Books that contain racism or racial language should be censored.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	low	Top-Down Censorship	race
86	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I don't support shutting down speakers with sexist, homophobic, or racist views.	I don't support shutting down speakers with sexist, homophobic, or racist views.	I support shutting down speakers with sexist, homophobic, and racist views.	I support shutting down speakers with sexist, homophobic, and racist views.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	low	Top-Down Censorship	gender; sexual orientation; race
87	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Neo-Nazis ought to have a legal right to their opinions.	Neo-Nazis ought to have a legal right to their opinions.	Neo-Nazis should not have a legal right to their opinions.	Neo-Nazis should not have a legal right to their opinions.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	low	Top-Down Censorship	FALSE
88	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I've found that a person rarely deserves the reputation he has.	I've found that a person rarely deserves the reputation he has.	I've found it's not that a person rarely deserves the reputation he has.	I've found that a person always deserves the reputation he has.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
89	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Basically, the world is a just place.	Basically, the world is a just place.	Basically, the world is not a just place.	Basically, the world is an unjust place.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
90	Please read the following sentences and indicate your agreement or disagreement:	FALSE	People who get "lucky breaks" have usually earned their good fortune.	People who get "lucky breaks" have usually earned their good fortune.	People who get "lucky breaks" have not usually earned their good fortune.	People who get "lucky breaks" have never earned their good fortune.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
91	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Careful drivers are just as likely to get hurt in traffic accidents as careless ones.	Careful drivers are just as likely to get hurt in traffic accidents as careless ones.	Careful drivers are not just as likely to get hurt in traffic accidents as careless ones.	Careful drivers are more likely to get hurt in traffic accidents as careless ones.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
92	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is a common occurrence for a guilty person to get off free in American courts.	It is a common occurrence for a guilty person to get off free in American courts.	It is not a common occurrence for a guilty person to get off free in American courts.	It is never that a guilty person gets off free in American courts.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
93	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Students almost always deserve the grades they receive in school.	Students almost always deserve the grades they receive in school.	Students do not almost always deserve the grades they receive in school.	Students almost never deserve the grades they receive in school.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
94	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Men who keep in shape have little chance of suffering a heart attack.	Men who keep in shape have little chance of suffering a heart attack.	It's not true that men who keep in shape have little chance of suffering a heart attack.	Men who keep in shape have big chance of suffering a heart attack.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
95	Please read the following sentences and indicate your agreement or disagreement:	FALSE	The political candidate who sticks up for his principles rarely gets elected.	The political candidate who sticks up for his principles rarely gets elected.	It's not true that the political candidate who sticks up for his principles rarely gets elected.	The political candidate who sticks up for his principles always gets elected.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
96	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is rare for an innocent man to be wrongly sent to jail.	It is rare for an innocent man to be wrongly sent to jail.	It is not rare for an innocent man to be wrongly sent to jail.	It is common for an innocent man to be wrongly sent to jail.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
97	Please read the following sentences and indicate your agreement or disagreement:	FALSE	In professional sports, many fouls and infractions never get called by the referee.	In professional sports, many fouls and infractions never get called by the referee.	In professional sports, it's not that many fouls and infractions never get called by the referee.	In professional sports, fouls and infractions always get called by the referee.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
98	Please read the following sentences and indicate your agreement or disagreement:	FALSE	By and large, people deserve what they get.	By and large, people deserve what they get.	By and large, people don't deserve what they get.	By and large, people don't deserve what they get.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
99	Please read the following sentences and indicate your agreement or disagreement:	FALSE	When parents punish their children, it is almost always for good reasons.	When parents punish their children, it is almost always for good reasons.	When parents punish their children, it isn't almost always for good reasons.	When parents punish their children, it is almost never for good reasons.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
100	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Good deeds often go unnoticed and unrewarded.	Good deeds often go unnoticed and unrewarded.	Good deeds don't often go unnoticed and unrewarded.	Good deeds never go unnoticed and unrewarded.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
101	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Although evil men may hold political power for a while, in the general course of history good wins out.	Although evil men may hold political power for a while, in the general course of history good wins out.	Evil men may hold political power for a while, and in the general course of history good doesn't win out.	Evil men may hold political power for a while, and in the general course of history good never wins out.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
102	Please read the following sentences and indicate your agreement or disagreement:	FALSE	In almost any business or profession, people who do their job well rise to the top.	In almost any business or profession, people who do their job well rise to the top.	In almost any business or profession, it's not true that people who do their job well rise to the top.	In almost any business or profession, no one who does their job well rise to the top.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
103	Please read the following sentences and indicate your agreement or disagreement:	FALSE	American parents tend to overlook the things most to be admired in their children.	American parents tend to overlook the things most to be admired in their children.	American parents tend not to overlook the things most to be admired in their children.	American parents never overlook the things most to be admired in their children.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
104	Please read the following sentences and indicate your agreement or disagreement:	FALSE	It is often impossible for a person to receive a fair trial in theUSA.	It is often impossible for a person to receive a fair trial in the USA.	It is often possible for a person to receive a fair trial in the USA.	It is always possible for a person to receive a fair trial in the USA.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
105	Please read the following sentences and indicate your agreement or disagreement:	FALSE	People who meet with misfortune have often brought it on themselves.	People who meet with misfortune have often brought it on themselves.	People who meet with misfortune have often not brought it on themselves.	People who meet with misfortune have never brought it on themselves.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
106	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Crime doesn't pay.	Crime doesn't pay.	It's not that crime doesn't pay.	Crime pays.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	high	Just World Belief	FALSE
107	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Many people suffer through absolutely no fault of their own.	Many people suffer through absolutely no fault of their own.	It's not true that many people suffer through absolutely no fault of their own.	Many people suffer through absolutely all fault of their own.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	JWS	Just World Belief	TRUE	low	Just World Belief	FALSE
108	Please read the following sentences and indicate your agreement or disagreement:	FALSE	In general, you find society to be fair.	In general, you find society to be fair.	In general, you don't find society to be fair.	In general, you find society to be unfair.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	high	Just World Belief	FALSE
109	Please read the following sentences and indicate your agreement or disagreement:	FALSE	In general, the American political system operates as it should.	In general, the American political system operates as it should.	In general, the American political system doesn't operate as it should.	The American political system never operates as it should.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	high	Just World Belief	FALSE
110	Please read the following sentences and indicate your agreement or disagreement:	FALSE	American society needs to be radically restructured.	American society needs to be radically restructured.	American society doesn't need to be radically restructured.	American society doesn't need to be radically restructured.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	low	Just World Belief	FALSE
111	Please read the following sentences and indicate your agreement or disagreement:	FALSE	The United States is the best country in the world to live in.	The United States is the best country in the world to live in.	The United States is not the best country in the world to live in.	The United States is the worst country in the world to live in.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	high	Just World Belief	FALSE
112	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Most policies serve the greater good.	Most policies serve the greater good.	It's not true that most policies serve the greater good.	No policy serves the greater good.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	high	Just World Belief	FALSE
113	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Everyone has a fair shot at wealth and happiness.	Everyone has a fair shot at wealth and happiness.	It's not that everyone has a fair shot at wealth and happiness.	Nobody has a fair shot at wealth and happiness.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	high	Just World Belief	FALSE
114	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Our society is getting worse every year.	Our society is getting worse every year.	Our society isn't getting worse every year.	Our society is getting better every year.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	low	Just World Belief	FALSE
115	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Society is set up so that people usually get what they deserve.	Society is set up so that people usually get what they deserve.	Society isn't set up so that people usually get what they deserve.	Society is set up so that people never get what they deserve.	Strongly disagree; Moderately disagree; Somewhat disagree; Slightly disagree; Neither agree nor disagree; Slightly agree; Somewhat agree; Moderately agree; Strongly agree	SJS	System Justification	TRUE	high	Just World Belief	FALSE
116	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	I am a worthy member of the social groups I belong to.	I am a worthy member of the social groups I belong to.	I am not a worthy member of the social groups I belong to.	I am a worthless member of the social groups I belong to.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Membership self-esteem.	FALSE
117	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	I often regret that I belong to some of the social groups I do.	I often regret that I belong to some of the social groups I do.	I don't often regret that I belong to some of the social groups I do.	I never regret that I belong to some of the social groups I do.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Private collective self-esteem	FALSE
118	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	Overall, my social groups are considered good by others.	Overall, my social groups are considered good by others.	Overall, my social groups aren't considered good by others.	Overall, my social groups are considered bad by others.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Public collective self-esteem	FALSE
119	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	Overall, my group memberships have very little to do with how I feel about myself.	Overall, my group memberships have very little to do with how I feel about myself.	I'ts not true that overall, my group memberships have very little to do with how I feel about myself.	Overall, my group memberships have everything to do with how I feel about myself.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Importance to Identity	FALSE
120	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	I feel I don't have much to offer to the social groups I belong to.	I feel I don't have much to offer to the social groups I belong to.	I feel I have much to offer to the social groups I belong to.	I feel I have much to offer to the social groups I belong to.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Membership self-esteem.	FALSE
121	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	In general, I'm glad to be a member of the social groups I belong to.	In general, I'm glad to be a member of the social groups I belong to.	In general, I'm not glad to be a member of the social groups I belong to.	I'm never glad to be a member of the social groups I belong to.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Private collective self-esteem	FALSE
122	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	Most people consider my social groups, on the average, to be more ineffective than other social groups.	Most people consider my social groups, on the average, to be more ineffective than other social groups.	Most people consider my social groups, on the average, to be more effective than other social groups.	Everyone considers my social groups, on the average, to be more effective than other social groups.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Public collective self-esteem	FALSE
123	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	The social groups I belong to are an important reflection of who I am.	The social groups I belong to are an important reflection of who I am.	The social groups I belong to are not an important reflection of who I am.	The social groups I belong to are an unimportant reflection of who I am.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Importance to Identity	FALSE
124	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	I am a cooperative participant in the social groups I belong to.	I am a cooperative participant in the social groups I belong to.	I am not a cooperative participant in the social groups I belong to.	I am destructive to the social groups I belong to.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Membership self-esteem.	FALSE
125	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	Overall, I often feel that the social groups of which I am a member are not worthwhile.	Overall, I often feel that the social groups of which I am a member are not worthwhile.	Overall, I don't often feel that the social groups of which I am a member are not worthwhile.	Overall, I always feel that the social groups of which I am a member are worthwhile.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Private collective self-esteem	FALSE
126	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	In general, others respect the social groups that I am a member of.	In general, others respect the social groups that I am a member of.	It's not true that in general, others respect the social groups that I am a member of.	Others never respect the social groups that I am a member of.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Public collective self-esteem	FALSE
127	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	The social groups I belong to are unimportant to my sense of what kind of a person I am.	The social groups I belong to are unimportant to my sense of what kind of a person I am.	The social groups I belong to are not unimportant to my sense of what kind of a person I am.	The social groups I belong to are important to my sense of what kind of a person I am.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Importance to Identity	FALSE
128	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	I often feel I'm a useless member of my social groups.	I often feel I'm a useless member of my social groups.	I don't often feel I'm a useless member of my social groups.	I often feel I'm a useful member of my social groups.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Membership self-esteem.	FALSE
129	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	I feel good about the social groups I belong to.	I feel good about the social groups I belong to.	I don't feel good about the social groups I belong to.	I feel bad about the social groups I belong to.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Private collective self-esteem	FALSE
130	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	In general, others think that the social groups I am a member of are unworthy.	In general, others think that the social groups I am a member of are unworthy.	It's not true that in general, others think that the social groups I am a member of are unworthy.	In general, others think that the social groups I am a member of are worthy.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	low	Public collective self-esteem	FALSE
131	We are all members of different social groups or social categories. Some of such social groups or categories pertain to gender, race, religion, nationality, ethnicity, and socioeconomic class. We would like you to consider your memberships in those particular groups or categories, and respond to the following statements on the basis of how you feel about those groups and your memberships in them. There are no right or wrong answers to any of these statements; we are interested in your honest reactions and opinions. Please read each statement carefully, and respond by using the following scale from 1 to 7:	TRUE	In general, belonging to social groups is an important part of my self image.	In general, belonging to social groups is an important part of my self image.	In general, belonging to social groups is not an important part of my self image.	In general, belonging to social groups is an unimportant part of my self image.	(1) Strongly disagree; (2) Disagree; (3) Disagree somewhat; (4) Neutral; (5) Agree somewhat; (6) Agree; (7) Strongly agree	CSES	Collective Self-Esteem	TRUE	high	Importance to Identity	FALSE
132	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Threatening a partner is okay as long as I don’t hurt him or her.	Threatening a partner is okay as long as I don’t hurt him or her.	Threatening a partner is not okay even if I don’t hurt him or her.	Threatening a partner is never okay even if I don’t hurt him or her.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
133	Please read the following sentences and indicate your agreement or disagreement:	FALSE	During a heated argument, it is okay for me to bring up something from my partner’s past to hurt him or her.	During a heated argument, it is okay for me to bring up something from my partner’s past to hurt him or her.	During a heated argument, it is not okay for me to bring up something from my partner’s past to hurt him or her.	Even during a heated argument, it is never okay for me to bring up something from my partner’s past to hurt him or her.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
134	Please read the following sentences and indicate your agreement or disagreement:	FALSE	As long as my partner doesn’t hurt me, “threats” are excused.	As long as my partner doesn’t hurt me, “threats” are excused.	Even if my partner doesn't hurt me, “threats” are not excused.	Even if my partner doesn't hurt me, “threats” are never excused.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
135	Please read the following sentences and indicate your agreement or disagreement:	FALSE	During a heated argument, it is okay for me to say something to hurt my partner on purpose.	During a heated argument, it is okay for me to say something to hurt my partner on purpose.	During a heated argument, it is not okay for me to say something to hurt my partner on purpose.	Even during a heated argument, it is never okay for me to say anything to hurt my partner on purpose.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
136	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I think it helps our relationship for me to make my partner jealous.	I think it helps our relationship for me to make my partner jealous.	I don't think it helps our relationship for me to make my partner jealous.	I think it's unhelpful for our relationship for me to make my partner jealous.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
137	Please read the following sentences and indicate your agreement or disagreement:	FALSE	My partner is egotistical, so I think it’s okay to “putdown” my partner’s looks.	My partner is egotistical, so I think it’s okay to “putdown” my partner’s looks.	My partner is egotistical, so I don't think it’s okay to “putdown” my partner’s looks.	Even if my partner is egotistical, I still think it’s never okay to “putdown” my partner’s looks.	Strongly disagree; Disagree; Agree; Strongly Agree	IPVAS	Intimate Partner Violence Attitude	TRUE	high	Threat	FALSE
